CAMIS,Name,MostRecentInspDate,GRADE,INSPECTION TYPE,SCORE
50170511,METIME SICHUAN CUISINE,2025-07-02,nan,Administrative Miscellaneous / Initial Inspection,
40645260,DUNKIN,2024-09-17,A,Cycle Inspection / Initial Inspection,12.0
41476982,JOHNNY'S BAKERY,2022-12-01,B,Cycle Inspection / Re-inspection,17.0
50067577,Al Bait Baitak,2024-12-23,Z,Cycle Inspection / Re-inspection,65.0
50067577,Al Bait Baitak,2024-12-23,nan,Administrative Miscellaneous / Re-inspection,
50158694,QAHWAH HOUSE,2024-12-02,C,Pre-permit (Operational) / Re-inspection,48.0
50083443,KANGA'S PLAYCENTER & CAFE,2024-04-12,A,Cycle Inspection / Initial Inspection,8.0
50005299,ACEY DUCEY'S,2025-07-22,A,Cycle Inspection / Initial Inspection,13.0
41539722,BOB'S DISCOUNT FURNITURE,2024-11-14,A,Cycle Inspection / Initial Inspection,13.0
40709941,PEPOLINO,2025-04-24,A,Cycle Inspection / Re-inspection,10.0
50129879,HARLEMITE RESTAURANT,2023-11-22,A,Pre-permit (Operational) / Initial Inspection,10.0
41659498,WORLD YACHT DUCHESS,2018-09-27,B,Cycle Inspection / Re-inspection,23.0
40787054,BOSTON MARKET,2023-12-05,Z,Cycle Inspection / Re-inspection,22.0
40787054,BOSTON MARKET,2023-12-05,nan,Sodium Warning / Initial Inspection,
40787054,BOSTON MARKET,2023-12-05,nan,Calorie Posting / Initial Inspection,
50135540,BLEECKER STREET BAR,2025-08-12,Z,Cycle Inspection / Re-inspection,24.0
50135540,BLEECKER STREET BAR,2025-08-12,nan,Trans Fat / Re-inspection,
41609414,PRIME AVENUE,2024-05-07,A,Cycle Inspection / Re-inspection,11.0
50123302,MANNAN BAKERY & RESTAURANT,2025-06-10,A,Cycle Inspection / Re-inspection,12.0
50105954,LUNA PIZZA,2024-03-11,B,Cycle Inspection / Re-inspection,26.0
40786914,BOSTON MARKET,2023-10-16,B,Cycle Inspection / Re-inspection,27.0
50163727,DUNKIN,2025-04-07,A,Pre-permit (Operational) / Initial Inspection,12.0
50106117,CITY CAFE,2025-03-10,A,Cycle Inspection / Initial Inspection,12.0
50088830,WILLIAMSBURG PIZZA,2024-06-05,A,Cycle Inspection / Initial Inspection,8.0
50133213,LILLISTAR,2024-10-26,A,Cycle Inspection / Initial Inspection,5.0
50051725,DUNKIN',2025-02-04,A,Cycle Inspection / Re-inspection,10.0
50085734,KOGANE RAMEN,2024-06-06,A,Cycle Inspection / Initial Inspection,13.0
41256599,HARRY'S ITALIAN,2025-05-07,A,Cycle Inspection / Initial Inspection,12.0
50093495,SATAY HOUSE,2025-04-21,A,Cycle Inspection / Re-inspection,11.0
50119423,WINGSTOP,2024-08-06,A,Cycle Inspection / Initial Inspection,9.0
50086090,BROOKLYN BRIDGE DINER,2025-05-06,B,Cycle Inspection / Re-inspection,22.0
40397723,WHITE CASTLE,2024-08-13,A,Cycle Inspection / Initial Inspection,12.0
50123473,LAO JIU GUAN,2023-10-05,B,Pre-permit (Operational) / Re-inspection,27.0
50015884,TERMINAL ONE,2025-07-02,Z,Cycle Inspection / Re-inspection,19.0
50085349,DON CHILE MEXICAN GRILL,2025-05-19,A,Cycle Inspection / Initial Inspection,12.0
50133259,PAIN DE VIE,2024-12-27,nan,Administrative Miscellaneous / Re-inspection,
50133259,PAIN DE VIE,2024-12-27,Z,Cycle Inspection / Re-inspection,50.0
50155337,MOON CHEESE RESTAURANT,2025-04-14,B,Pre-permit (Operational) / Re-inspection,27.0
50076292,1 QUETZAL,2018-09-28,A,Pre-permit (Operational) / Re-inspection,11.0
50076292,1 QUETZAL,2018-09-28,nan,Smoke-Free Air Act / Re-inspection,
50104173,GENAO RESTAURANT,2024-12-06,B,Cycle Inspection / Re-inspection,23.0
41688142,BARCLAYS CENTER-OVER RICE,2025-01-25,A,Cycle Inspection / Initial Inspection,0.0
41538119,HANSON DRY,2024-01-24,A,Cycle Inspection / Initial Inspection,2.0
41538119,HANSON DRY,2024-01-24,nan,Administrative Miscellaneous / Initial Inspection,
50060258,HOLE IN THE WALL,2025-07-03,B,Cycle Inspection / Re-inspection,20.0
50088478,VAN LEEUWEN ICE CREAM,2024-06-20,A,Cycle Inspection / Initial Inspection,7.0
50143089,PIZZA PARK,2024-09-25,B,Pre-permit (Operational) / Re-inspection,23.0
50115926,SAINT LAWRENCE DEVIL PIZZA,2024-10-24,A,Cycle Inspection / Initial Inspection,12.0
41100958,CREPERIE,2024-12-04,A,Cycle Inspection / Initial Inspection,9.0
50103358,VITALL FUSION,2025-08-11,A,Cycle Inspection / Re-inspection,13.0
50098186,NY HAPPY FAMILY INC,2025-08-25,Z,Cycle Inspection / Re-inspection,31.0
40368018,THE PATIO,2023-05-10,A,Cycle Inspection / Initial Inspection,7.0
41468815,DINOSAUR BAR-B-QUE,2023-09-27,A,Cycle Inspection / Re-inspection,13.0
41020005,UNCLE BILL'S DINER,2025-04-04,A,Cycle Inspection / Initial Inspection,13.0
50143545,DAVE'S HOT CHICKEN,2025-06-02,A,Cycle Inspection / Initial Inspection,13.0
50110695,BOTTE UES,2025-01-02,A,Pre-permit (Operational) / Re-inspection,12.0
50037848,HONG KONG EXPRESS,2025-06-27,A,Cycle Inspection / Initial Inspection,7.0
50106995,JESS TOWN AND COUNTRY CUISINE,2024-12-18,A,Cycle Inspection / Re-inspection,13.0
50123658,WING HING RESTAURANT,2024-10-02,A,Cycle Inspection / Initial Inspection,13.0
50077156,JOE & THE JUICE,2025-06-17,A,Cycle Inspection / Initial Inspection,11.0
50081395,GOLDEN PALACE,2025-05-13,Z,Cycle Inspection / Re-inspection,53.0
50096033,FABIO PIZZA & RESTAURANT,2025-02-27,B,Cycle Inspection / Re-inspection,21.0
40653417,STARBUCKS,2025-03-12,A,Cycle Inspection / Initial Inspection,7.0
50091031,PINKBERRY,2024-09-18,A,Cycle Inspection / Initial Inspection,13.0
50059700,RED POKE,2024-12-30,A,Cycle Inspection / Initial Inspection,12.0
50099543,KINGS OF KOBE,2025-08-27,A,Cycle Inspection / Initial Inspection,12.0
50143891,TAKU SANDO,2025-07-14,Z,Cycle Inspection / Re-inspection,24.0
50134854,APRICOT CAFE,2025-07-15,Z,Cycle Inspection / Re-inspection,25.0
50132018,CROWN FRIED CHICKEN & PIZZA,2025-04-28,C,Cycle Inspection / Re-inspection,37.0
41637082,NUTRIPAN COLOMBIAN BAKERY,2025-08-01,Z,Cycle Inspection / Re-inspection,24.0
40383003,COBBLESTONE PUB,2025-06-16,A,Cycle Inspection / Initial Inspection,12.0
50004839,MAMA PHO / SOJUICE,2024-10-28,A,Cycle Inspection / Re-inspection,13.0
50161031,COURT STREET BAGELS,2024-12-04,A,Pre-permit (Operational) / Initial Inspection,13.0
50063522,CECCONI'S,2025-04-14,A,Cycle Inspection / Re-inspection,8.0
50109552,BLUESTONE LANE,2024-11-25,B,Cycle Inspection / Re-inspection,23.0
41037770,SUNNY'S,2024-10-19,A,Cycle Inspection / Initial Inspection,7.0
50086397,PABADE BAKERY & CAFE,2025-05-29,A,Cycle Inspection / Initial Inspection,12.0
41620315,TACOS GLORIA,2024-07-09,A,Cycle Inspection / Initial Inspection,12.0
50113419,BACK HOME BAKERY,2025-07-15,B,Cycle Inspection / Re-inspection,22.0
41025692,IL PICCOLO BUFALO,2025-04-17,C,Cycle Inspection / Re-inspection,39.0
50090711,NINJA SUSHI,2024-11-21,Z,Cycle Inspection / Re-inspection,37.0
41636886,KARIZMA LOUNGE,2024-10-30,B,Cycle Inspection / Re-inspection,27.0
50113196,JUICY KING CRAB EXPRESS,2024-11-12,A,Cycle Inspection / Re-inspection,12.0
50044013,WENDY'S,2024-05-21,A,Cycle Inspection / Initial Inspection,7.0
50044013,WENDY'S,2024-05-21,nan,Administrative Miscellaneous / Initial Inspection,
41699605,PANCHO'S ANTOJITOS MEXICANOS,2024-04-12,C,Cycle Inspection / Re-inspection,50.0
50106054,ANITA GELATO,2025-07-16,Z,Cycle Inspection / Re-inspection,20.0
50105705,ZERO BOND,2024-06-11,A,Cycle Inspection / Initial Inspection,10.0
50055882,GARDENIA TERRACE,2024-03-26,A,Cycle Inspection / Re-inspection,10.0
40847914,CHIRPING CHICKEN,2024-07-01,A,Cycle Inspection / Initial Inspection,9.0
50010073,LA EXCELENCIA EMPANADAS MONUMENTAL,2025-07-24,A,Cycle Inspection / Re-inspection,13.0
50142468,RESTAURANT ASSOCIATES LLC,2023-10-27,A,Pre-permit (Operational) / Initial Inspection,6.0
41454810,GRAZIELLA PIZZERIA,2024-10-08,A,Cycle Inspection / Initial Inspection,7.0
50146789,TE QUIERO,2024-04-04,A,Pre-permit (Operational) / Re-inspection,12.0
50093841,KIMOS KITCHEN,2023-11-28,A,Cycle Inspection / Re-inspection,2.0
41180122,LE SAJJ RESTAURANT,2025-04-24,B,Cycle Inspection / Re-inspection,26.0
50032937,FOXY JOHN'S,2024-04-02,A,Cycle Inspection / Initial Inspection,13.0
40512520,CHELSEA RISTORANTE,2024-05-21,A,Cycle Inspection / Initial Inspection,5.0
50000268,JAMAICA BREEZE RESTAURANT,2025-04-08,A,Cycle Inspection / Initial Inspection,7.0
50160857,TRINI KITCHEN SEAFOOD & GRILL,2025-04-30,A,Pre-permit (Operational) / Initial Inspection,12.0
50088270,TARTINERY,2024-06-12,A,Cycle Inspection / Initial Inspection,7.0
50129377,TORTILLAS KING,2025-01-15,A,Cycle Inspection / Initial Inspection,13.0
50088210,MOUNTAIN FUSION,2024-05-14,B,Cycle Inspection / Re-inspection,27.0
50117358,POKE FUN,2025-01-07,A,Cycle Inspection / Re-inspection,7.0
50149876,PERI PERI,2024-06-18,A,Pre-permit (Operational) / Initial Inspection,13.0
50033540,EMPIRE EAST,2025-06-04,A,Cycle Inspection / Initial Inspection,10.0
41686481,OREGANO,2024-03-18,A,Cycle Inspection / Re-inspection,13.0
41678381,MOTI MAHAL DELUX,2025-06-17,C,Cycle Inspection / Re-inspection,52.0
50112567,EAST END BAR & GRILL,2024-04-15,A,Cycle Inspection / Initial Inspection,9.0
50054749,STARR BAR,2024-09-18,A,Cycle Inspection / Initial Inspection,8.0
50100549,RITZ DINER,2025-07-01,B,Cycle Inspection / Re-inspection,27.0
50090106,DOC HENNIGANS,2024-06-05,A,Cycle Inspection / Initial Inspection,13.0
41704745,SUBWAY,2025-01-29,A,Cycle Inspection / Initial Inspection,13.0
50095499,DUNKIN,2025-05-20,A,Cycle Inspection / Initial Inspection,12.0
50136112,FILTHY DIAMOND,2024-09-22,A,Pre-permit (Operational) / Initial Inspection,11.0
50151595,AMERICAN WINGS AND PIZZA,2024-08-08,A,Pre-permit (Operational) / Initial Inspection,13.0
50137368,SHORT STORIES,2024-02-27,A,Pre-permit (Operational) / Initial Inspection,13.0
50137368,SHORT STORIES,2024-02-27,nan,Administrative Miscellaneous / Initial Inspection,
50053465,BSTRO 38,2024-11-26,A,Cycle Inspection / Re-inspection,13.0
50042128,THE BRONX BEER HALL,2024-11-20,C,Cycle Inspection / Re-inspection,28.0
50154825,PARIS BAGUETTE,2025-07-24,nan,Administrative Miscellaneous / Initial Inspection,
50143859,PRESTIGE RESTAURANT,2024-08-29,A,Pre-permit (Operational) / Re-inspection,12.0
50129722,Quoquan 1,2023-08-29,C,Cycle Inspection / Re-inspection,48.0
41136521,DUNKIN' / BASKIN-ROBBINS,2025-07-31,A,Cycle Inspection / Initial Inspection,8.0
50167261,HEYTEA,2025-04-29,A,Pre-permit (Operational) / Initial Inspection,3.0
50119389,TERIYAKI ONE,2024-08-29,A,Cycle Inspection / Re-inspection,11.0
50092019,GUS' AMERICAN GRILL,2025-07-03,C,Cycle Inspection / Re-inspection,31.0
50170864,APPLEBEES NEIGHBORHOOD GRILL AND BAR,2025-07-01,A,Pre-permit (Operational) / Initial Inspection,13.0
50100028,POP'S PIZZERIA,2024-11-06,A,Cycle Inspection / Initial Inspection,12.0
50144757,JERSEY MIKE'S SUBS,2024-03-06,A,Pre-permit (Operational) / Initial Inspection,10.0
41317968,MAYNILA ORIENTAL FOOD MARKET,2024-11-23,B,Cycle Inspection / Re-inspection,24.0
50051778,PRONTITO,2024-12-10,A,Cycle Inspection / Initial Inspection,10.0
40809948,44 & X HELL'S KITCHEN,2024-05-07,A,Cycle Inspection / Initial Inspection,10.0
50108654,CUPPA TEA,2025-01-27,B,Cycle Inspection / Re-inspection,27.0
41154087,CHRISTOS STEAKHOUSE,2024-01-10,A,Cycle Inspection / Initial Inspection,12.0
50147095,BONCHON,2025-01-02,A,Pre-permit (Operational) / Re-inspection,12.0
50095475,KARAHI INDIAN CUISINE,2025-07-08,Z,Cycle Inspection / Re-inspection,38.0
50060722,EL MERO MERO,2024-12-19,A,Cycle Inspection / Re-inspection,12.0
50002055,ROCKAWAY BEACH SURF CLUB,2024-07-10,A,Cycle Inspection / Initial Inspection,10.0
50119415,SWEETGREEN,2024-10-17,A,Cycle Inspection / Initial Inspection,8.0
50119415,SWEETGREEN,2024-10-17,nan,Calorie Posting / Initial Inspection,
50141436,NEW GRAM BANGLA RESTAURANT,2025-06-25,Z,Cycle Inspection / Re-inspection,44.0
40674475,JOHN'S PIZZERIA,2024-06-06,A,Cycle Inspection / Initial Inspection,12.0
50101032,TACO BELL CANTINA,2025-02-26,A,Cycle Inspection / Initial Inspection,9.0
50006002,LUCKY CAT,2023-07-19,Z,Cycle Inspection / Reopening Inspection,6.0
41620241,THE COMMONS CHELSEA,2024-05-15,A,Cycle Inspection / Initial Inspection,13.0
41178943,GOLDEN PALACE CHINESE RESTAURANT,2025-08-19,Z,Cycle Inspection / Re-inspection,21.0
50167626,GRAND ST COFFEE SHOP,2025-06-26,A,Pre-permit (Operational) / Initial Inspection,12.0
50053330,"KFC, TACO BELL",2024-07-18,A,Cycle Inspection / Initial Inspection,13.0
50152957,JAMAICA HALAL WINGS/APNAR CHA GHAR,2025-06-16,A,Cycle Inspection / Initial Inspection,13.0
50147715,LE PAIN QUOTIDIEN,2024-09-12,B,Pre-permit (Operational) / Re-inspection,19.0
50074636,UNDERHILL CAFE AND GRILL,2024-06-29,A,Cycle Inspection / Initial Inspection,9.0
50141844,FRESH HOT J PIZZA,2025-07-22,Z,Cycle Inspection / Re-inspection,28.0
50152811,SPRINGBONE,2025-02-26,A,Pre-permit (Operational) / Initial Inspection,13.0
41702645,TIN CUP CAFE,2025-07-17,A,Cycle Inspection / Re-inspection,12.0
50124819,ALEX & FRIENDS COFFEE SHOP,2025-05-14,A,Cycle Inspection / Initial Inspection,10.0
50104369,NIKO'S SOUVLAKI,2024-03-26,C,Cycle Inspection / Re-inspection,29.0
50059238,SANGARITA'S,2024-03-06,A,Cycle Inspection / Re-inspection,11.0
50105985,BUER PUB,2022-12-28,B,Pre-permit (Operational) / Re-inspection,25.0
50034232,RELISH CATERERS,2025-07-14,A,Cycle Inspection / Re-inspection,9.0
41661008,AMURA JAPANESE RESTAURANT,2025-06-03,A,Cycle Inspection / Initial Inspection,12.0
50145840,LA GITANA #2,2025-03-11,nan,Administrative Miscellaneous / Initial Inspection,
50145840,LA GITANA #2,2025-03-11,A,Cycle Inspection / Initial Inspection,11.0
50087693,LA NUEVA COLOMBIA,2025-04-11,B,Cycle Inspection / Re-inspection,20.0
50002062,K & L RESTAURANT AND CATERING SERVICE,2024-08-20,B,Cycle Inspection / Re-inspection,26.0
50101357,MUSEUM OF ICE CREAM,2023-05-31,A,Cycle Inspection / Initial Inspection,4.0
50107558,HALAL XPRESS,2025-01-27,Z,Cycle Inspection / Re-inspection,26.0
40903960,BELLEROSE FAMOUS PIZZA,2025-02-10,A,Cycle Inspection / Re-inspection,12.0
50105664,POLLO EL CAMPESINO,2024-10-21,A,Cycle Inspection / Initial Inspection,9.0
50137063,LA IGUANA,2025-04-23,A,Cycle Inspection / Initial Inspection,13.0
50061569,"CONRAD MIDTOWN (RESTAURANT, BAR/STORAGE)",2025-04-15,A,Cycle Inspection / Initial Inspection,12.0
41077507,LA NUEVA ESTRELLA BAR & RESTAURANT,2024-04-24,B,Cycle Inspection / Re-inspection,27.0
50106785,QAHWAH HOUSE,2025-01-07,A,Cycle Inspection / Re-inspection,13.0
50058157,EL SAZON DE OLGA RESTAURANT,2025-07-30,A,Cycle Inspection / Re-inspection,12.0
50035264,CHIPOTLE MEXICAN GRILL,2025-07-15,A,Cycle Inspection / Re-inspection,8.0
50135943,A-JIAO SICHUAN CUISINE,2024-08-16,A,Cycle Inspection / Re-inspection,12.0
50093790,LEVY AT JAVITS CENTER- 3411 GARDEN MARKET/MARKETPLACE,2023-05-24,A,Cycle Inspection / Initial Inspection,5.0
50096299,SVETA,2025-07-24,A,Cycle Inspection / Initial Inspection,10.0
50057288,ODD FOX COFFEE,2025-07-22,A,Cycle Inspection / Initial Inspection,6.0
41153530,RED HOUSE KITCHEN,2024-09-17,A,Cycle Inspection / Initial Inspection,12.0
50126409,BLANK STREET COFFEE,2024-12-24,A,Cycle Inspection / Re-inspection,8.0
50034659,CAFE GUSTO II,2025-02-14,A,Cycle Inspection / Initial Inspection,12.0
50137816,AMY'S BREAD,2024-04-10,B,Cycle Inspection / Re-inspection,16.0
40587273,DUNKIN',2025-02-27,A,Cycle Inspection / Initial Inspection,5.0
50045647,WU'S WONTON KING,2025-04-29,Z,Cycle Inspection / Re-inspection,25.0
50034728,THE MERMAID INN,2019-12-26,A,Cycle Inspection / Initial Inspection,12.0
50009407,VANGUARD WINE BAR,2025-08-13,A,Cycle Inspection / Initial Inspection,9.0
50041683,MAXIM CHINESE RESTAURANT,2024-10-16,nan,Administrative Miscellaneous / Initial Inspection,
50111665,Bonnie's,2024-03-15,A,Pre-permit (Operational) / Initial Inspection,12.0
50128814,VALENTINO'S PIZZA,2024-08-14,nan,Administrative Miscellaneous / Initial Inspection,
50128814,VALENTINO'S PIZZA,2024-08-14,A,Cycle Inspection / Re-inspection,9.0
50064439,ORSO COFFEE,2025-01-30,A,Cycle Inspection / Re-inspection,2.0
41715036,"SOUTHGATE RESTAURANT, JW MARRIOT ESSEX HOUSE",2025-07-28,A,Cycle Inspection / Initial Inspection,13.0
50053072,RUBY'S CAFE,2025-04-10,A,Cycle Inspection / Re-inspection,12.0
50131459,BRASSERIE COGNAC,2024-09-26,C,Pre-permit (Operational) / Re-inspection,54.0
50085725,CHARLEY'S PHILLY STEAKS,2025-08-12,A,Cycle Inspection / Initial Inspection,12.0
50016317,TEPANGOS PIZZA & MEXICAN FOOD,2025-05-12,A,Cycle Inspection / Initial Inspection,10.0
50100522,EMPANADA CITY,2024-12-03,A,Cycle Inspection / Initial Inspection,12.0
50089424,THAT SUSHI SPOT,2024-10-28,A,Cycle Inspection / Initial Inspection,13.0
50142502,YINGTAO,2025-03-12,A,Pre-permit (Operational) / Initial Inspection,10.0
50100676,EL VALLE JEROME,2025-03-13,A,Cycle Inspection / Initial Inspection,10.0
50140620,YARD POT,2024-12-31,A,Cycle Inspection / Initial Inspection,13.0
50140114,FIVE GUYS,2024-10-30,A,Cycle Inspection / Initial Inspection,3.0
50108290,KFC,2024-04-29,A,Cycle Inspection / Initial Inspection,9.0
41405312,JIMBO'S HAMBURGER PALACE,2024-07-03,A,Cycle Inspection / Initial Inspection,10.0
50164693,EMPIRE TEISHOKUYA,2025-02-06,A,Pre-permit (Operational) / Initial Inspection,11.0
50138720,KYURAMEN,2025-08-19,Z,Cycle Inspection / Re-inspection,27.0
50073931,YAMADA CHIKARA NEW YORK,2024-02-06,A,Cycle Inspection / Re-inspection,12.0
50007431,KHAO KANG,2024-12-19,C,Cycle Inspection / Re-inspection,40.0
50007431,KHAO KANG,2024-12-19,nan,Administrative Miscellaneous / Re-inspection,
50165193,SARKU JAPAN,2025-04-24,A,Pre-permit (Operational) / Initial Inspection,13.0
50092145,MI CASITA BAKERY Y RESTAURANT,2025-02-19,A,Cycle Inspection / Re-inspection,11.0
50120168,LA MARCHANDE,2025-01-28,Z,Cycle Inspection / Re-inspection,35.0
50120168,LA MARCHANDE,2025-01-28,nan,Administrative Miscellaneous / Re-inspection,
50125223,MASSERIA CAFFE,2023-07-26,A,Pre-permit (Operational) / Initial Inspection,12.0
50074470,ABAITA,2024-03-13,A,Cycle Inspection / Re-inspection,12.0
50145564,LONG SPRING GARDEN,2025-02-27,A,Cycle Inspection / Initial Inspection,10.0
50134317,MY PIZZA,2023-09-11,C,Pre-permit (Operational) / Re-inspection,29.0
50117060,TALK OF THE TRACK,2024-12-27,A,Cycle Inspection / Re-inspection,5.0
40548426,SPOLINI'S,2025-01-31,B,Cycle Inspection / Re-inspection,21.0
50042927,TACOMBI,2025-02-20,nan,Administrative Miscellaneous / Re-inspection,
50120121,ZAYTINYA,2024-11-15,C,Cycle Inspection / Re-inspection,110.0
50120121,ZAYTINYA,2024-11-15,nan,Administrative Miscellaneous / Re-inspection,
40513133,EL CONTINENTAL,2022-10-21,A,Cycle Inspection / Initial Inspection,13.0
41034539,HOLLYWOOD DINER,2024-07-17,A,Cycle Inspection / Initial Inspection,12.0
50103991,HANK'S PIZZA / LAZZARO,2024-03-15,A,Cycle Inspection / Re-inspection,13.0
50117129,DUNKIN,2024-10-07,A,Cycle Inspection / Initial Inspection,10.0
50119196,SALLY'S SOUTHERN,2025-06-16,A,Cycle Inspection / Initial Inspection,10.0
50123210,BANH MI CAFE,2024-11-04,A,Cycle Inspection / Initial Inspection,9.0
40378579,ANDREW'S NYC DINER,2025-07-07,A,Cycle Inspection / Re-inspection,12.0
50087220,LA CASA DE FRIDA,2025-07-23,A,Cycle Inspection / Initial Inspection,9.0
50052920,ROYAL PIZZERIA,2024-11-15,A,Cycle Inspection / Re-inspection,13.0
41168098,HORUS CAFE,2024-05-16,nan,Administrative Miscellaneous / Initial Inspection,
50004377,AREPAS CAFE,2025-06-16,A,Cycle Inspection / Initial Inspection,13.0
50151202,CEDEAO AFRICAN DINER,2025-03-11,Z,Pre-permit (Operational) / Re-inspection,31.0
50148558,D.T RESTAURANT,2024-09-23,C,Pre-permit (Operational) / Re-inspection,30.0
40578092,COSTELLO'S CLADDAGH INN,2023-04-24,A,Cycle Inspection / Initial Inspection,12.0
50139393,T-SQUARED,2024-01-18,A,Pre-permit (Operational) / Initial Inspection,13.0
50078417,HILTON GARDEN INN LONG ISLAND CITY,2024-10-04,A,Cycle Inspection / Initial Inspection,13.0
50160771,PUPUSERIA RIDGEWOOD,2024-12-12,A,Pre-permit (Operational) / Initial Inspection,13.0
40844457,LA ISLA,2023-02-27,B,Cycle Inspection / Re-inspection,18.0
40397116,TOLEDO,2024-05-08,A,Cycle Inspection / Initial Inspection,10.0
50144173,CHURROS & BRAVAS,2023-12-11,A,Pre-permit (Operational) / Initial Inspection,4.0
50144173,CHURROS & BRAVAS,2023-12-11,nan,Administrative Miscellaneous / Initial Inspection,
50118012,BLUE RIBBON SUSHI BAR & GRILL,2025-02-05,A,Cycle Inspection / Re-inspection,10.0
50049322,PREGO'S PIZZA,2024-04-15,A,Cycle Inspection / Initial Inspection,9.0
50043823,SHOGUN HIBACHI & SUSHI BAR,2025-01-10,Z,Cycle Inspection / Re-inspection,24.0
50065528,101 WILSON BAR,2023-10-06,C,Cycle Inspection / Re-inspection,29.0
50165805,THE OASIS CAFE,2025-05-02,A,Pre-permit (Operational) / Re-inspection,12.0
50142575,CAMP CAMP BBQ,2024-02-28,A,Pre-permit (Operational) / Re-inspection,12.0
50142884,LA CHOZA DEL GORDO,2025-06-23,Z,Cycle Inspection / Re-inspection,78.0
50001790,SWEETGREEN,2024-06-10,A,Cycle Inspection / Initial Inspection,13.0
50144643,CHOCOLATE HOUSE,2025-07-21,A,Cycle Inspection / Initial Inspection,10.0
50153624,DRIFT876,2025-04-03,A,Pre-permit (Operational) / Initial Inspection,12.0
41222682,NY PIZZA CAFE & SPANISH FOOD RESTAURANT,2024-11-22,B,Cycle Inspection / Re-inspection,26.0
41495141,EL CERRITO RESTAURANT,2025-05-13,A,Cycle Inspection / Initial Inspection,7.0
50073626,BAR PISELLINO,2025-06-18,A,Cycle Inspection / Initial Inspection,13.0
50144175,MR. LOPEZ BURGERS & BIKINIS,2024-03-12,A,Pre-permit (Operational) / Initial Inspection,9.0
50113674,PEARL DYNASTEA,2024-05-07,A,Cycle Inspection / Initial Inspection,12.0
50113674,PEARL DYNASTEA,2024-05-07,nan,Administrative Miscellaneous / Initial Inspection,
50122983,DIANE'S,2024-06-20,A,Cycle Inspection / Initial Inspection,9.0
50101329,FRESH PICK,2024-12-19,A,Cycle Inspection / Re-inspection,9.0
50106103,XIANG JU RESTAURANT,2023-11-16,A,Cycle Inspection / Re-inspection,9.0
50153347,ELVIS,2025-04-09,A,Pre-permit (Operational) / Initial Inspection,13.0
50125750,LOST IN PARADISE ROOFTOP LOUNGE,2023-10-05,C,Pre-permit (Operational) / Re-inspection,60.0
50125750,LOST IN PARADISE ROOFTOP LOUNGE,2023-10-05,nan,Smoke-Free Air Act / Initial Inspection,
50050386,PANDA EXPRESS,2024-11-13,A,Cycle Inspection / Initial Inspection,9.0
40424894,AMY'S BREAD,2025-03-06,A,Cycle Inspection / Initial Inspection,11.0
50009366,GO BELIEVE BAKERY,2025-08-07,C,Cycle Inspection / Re-inspection,33.0
50032753,AGAVI ORGANIC JUICEBAR,2025-08-25,Z,Cycle Inspection / Re-inspection,35.0
40391060,LUKE'S BAR & GRILL,2024-05-16,A,Cycle Inspection / Re-inspection,10.0
50105357,MAD FOR CHICKEN,2025-04-14,Z,Cycle Inspection / Re-inspection,26.0
41175262,"DUNKIN',' BASKIN ROBBINS",2025-06-05,A,Cycle Inspection / Initial Inspection,11.0
50136760,AMERICAN RESTAURANT,2023-08-04,A,Pre-permit (Operational) / Re-inspection,11.0
50067267,SUBWAY,2025-02-25,A,Cycle Inspection / Re-inspection,9.0
41496204,ALITALIA PIZZA RESTAURANT,2024-07-01,A,Cycle Inspection / Initial Inspection,12.0
40402007,GRAND AVENUE PIZZA,2025-07-15,A,Cycle Inspection / Re-inspection,13.0
50141018,NERD BE COOL,2025-04-24,A,Cycle Inspection / Re-inspection,2.0
50101558,BUCANOS RESTAURANT,2023-09-05,C,Cycle Inspection / Re-inspection,37.0
50135840,HUNAN DELIGHT,2025-02-05,B,Cycle Inspection / Re-inspection,20.0
41374102,STARBUCKS,2024-11-27,A,Cycle Inspection / Initial Inspection,12.0
50084024,CROWN FRIED CHICKEN,2025-07-31,Z,Cycle Inspection / Re-inspection,83.0
50150525,TRU ASTORIA,2024-08-01,C,Pre-permit (Operational) / Re-inspection,35.0
40582335,WAYS & MEANS,2024-03-06,A,Cycle Inspection / Re-inspection,13.0
50121797,HIYAKE OMAKASE,2024-07-09,A,Cycle Inspection / Initial Inspection,13.0
41399300,NEW YORK DINER,2025-05-16,A,Cycle Inspection / Initial Inspection,12.0
50093120,MELONPANNA TEA & SHOT,2025-01-15,A,Cycle Inspection / Initial Inspection,13.0
40401821,THREE DECKER RESTAURANT,2025-01-27,A,Cycle Inspection / Re-inspection,10.0
41362531,PIQUILLO,2025-06-12,A,Cycle Inspection / Initial Inspection,2.0
41177892,LAKE COMO PIZZA,2024-09-03,A,Cycle Inspection / Re-inspection,12.0
50002690,TKO CHICKEN & RIBS,2023-01-03,A,Cycle Inspection / Re-inspection,9.0
40936610,JACK DEMSEY'S PUB,2024-06-17,A,Cycle Inspection / Initial Inspection,13.0
50081192,NEW BAY COFFEE SHOP,2025-01-09,nan,Administrative Miscellaneous / Re-inspection,
50132964,THE XPERIENCE COFFEE HOUSE & JUICE BAR,2024-10-22,A,Cycle Inspection / Initial Inspection,13.0
50094869,YOZ SHANGHAI (BSMT. FOOD COURT STE#020),2024-07-11,A,Cycle Inspection / Initial Inspection,13.0
